Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
Apollo SBI Credit Card,Shopping,Rs. 499 (plus applicable taxes),Rs. 499 (plus applicable taxes),500 Reward Points and complimentary Apollo Gold Tier Membership,"3x Reward Points on Apollo Services, 2x Reward Points on dining, movies, and entertainment, 1 Reward Point on every Rs. 100 spent on all other spends.",NA,NA,NA,2x Reward Points while spending on dining and movie related spends.,They can only be redeemed to avail services at Apollo Healthcare Centers and related stores.,NA,NA,Zero Liability Protection is provided against lost/stolen credit cards upon reporting to the customer care of the bank.,Waiver of renewal fee on the spending of Rs. 1 Lakh or more in the previous year.,Rs. 99,3.5% on all international transactions,3.5% per month (or 42% annually),1% at all fuel stations in India. Surcharge amount is capped at Rs. 100 in a month.,"2.5% of the amount or Rs. 500, higher of the two",NA,"Only Indian residents can apply for this card.
Both salaried and self-employed individuals, above the age of 18 years can apply for this credit card.
The add-on cardholder should at least be 18 years of age to get this card.
The cardholder should have a stable source of income.
The cardholder must have a good credit score to be eligible for this credit card.",NA
SBI Shaurya Credit Card,Shopping,Rs. 250,Rs. 250,"1,000 bonus Reward Points","1 Reward Points on every spend of Rs. 100 and 5x Reward Points on groceries, dining, CSD, movies, departmental stores, etc.",NA,NA,Personal accident insurance cover worth Rs. 2 lakhs.,NA,The reward points you earn can be redeemed against various options from the Rewards catalogue or against the card’s outstanding balance at a rate of 1 RP = Re. 0.25.,NA,NA,NA,"The renewal fee is waived off if you spend Rs. 50,000 or more in the previous year.",Rs. 99 on each redemption request.,3.5% on all foreign currency spends.,2.75% p.m. (33% annually),"1% fuel surcharge waiver on all fuel transactions between Rs. 500 and Rs. 3,000.",2.5% of the withdrawn amount or Rs. 500 (whichever is higher),NA,NA,NA
SBI Shaurya Select Credit Card,Shopping,NA,NA,NA,"2 Reward Points on every spend of Rs. 100, 5x Reward Points on dining, groceries, departmental stores, and movies.",NA,NA,Complimentary insurance cover worth Rs. 10 lakhs against personal accident.,NA,The Reward Points can be redeemed against the card’s outstanding balance and various other options. 1 Reward Point = Re. 0.25.,NA,NA,The cardholder will not be liable for any fraudulent transactions made against a lost/stolen card if the card is reported lost to the bank in a timely manner.,"The renewal fee is waived off on spending Rs. 1,50,000 or more in the previous year.",Rs. 99 on every redemption request,3.5% on all foreign currency spends.,2.75% p.m. (33% annually),"1% fuel surcharge waiver on all fuel transactions between Rs. 500 and Rs. 4,000.",2.5% of the withdrawn amount or a minimum of Rs. 500.,NA,NA,NA
Max SBI Card SELECT,Shopping,Rs 1499/-,Rs 1499/-,Earn 6000 bonus reward points on paying annual fees.,Earn 10 Earn Reward Points on every Rs 100 spent on all Online and Offline Landmark stores. Earn 2 Reward Points on every Rs 100 spent on all other online and offline purchases.,NA,NA,NA,Get 10 Reward Points on every Rs 100 spent on dining and movies.,Redeem your Reward points by converting them into Landmark Rewards and get a double benefit.,NA,NA,NA,NA,Rs 99,3.5% of the total transaction value.,3.5% per month or 42% per annum,1% of Fuel Surcharge Waiver (Maximum waiver of Rs 100 per statement cycle) at all fuel stations across India.,2.5% of the total transaction amount (Minimum Rs. 500),NA,NA,NA
Yes Bank First Exclusive Credit Card,"Travel , Shopping",Rs. 999 (plus applicable taxes),Rs. 999 (plus applicable taxes),NA,"6 Reward Points for every Rs. 200 spent on Selected category, 12 Reward Points on every Rs. 200 spent on all other transactions and 1000 Reward Points on every YES PayNow registration.","3 complimentary domestic airport lounge visits per quarter at select airports across India, 6 complimentary international lounge access (outside India) with Priority Pass membership and travel offers on the Yes Privileges portal.",12 domestic lounge visits every year (3 per quarter) at select airports across India under the MasterCard Lounge program.,"Insurance coverage worth Rs. 3 crore in case the cardholder’s life is lost due to an air accident, medial insurance worth Rs. 50 lakh in case of emergency overseas hospitalization and a Credit Shield cover (up to Rs. 10 lakh) against outstanding card dues in the unfortunate event of death of the primary cardholder.",25% discount of movie tickets booked on BookMyShow (with a cap of Rs. 250 per month) and dining offers in select cities on the Yes Privilages portal.,Reward Points can be redeemed on the YesRewardz portal for hotel/flight/movie tickets booking and against purchases from the exclusive catalogue of products. Reward Points can also be redeemed against AirMIles (10 Reward Points = 1 InterMile / 1 Club Vistara Point).,4 complimentary rounds of golf with green fee waived and 1 complimentary golf lesson per year at selected golf courses across the country under the MasterCardWorld Golf program.,6 complimentary airport lounge access outside India with membership to the Priority Pass Program.,"In the event of loss of the card, you won’t be liable for any unauthorised transaction after the time of reporting the loss to Yes Bank’s customer care.","The Joining fee is waived on spending Rs. 75,000 in the first 90 days and the renewal fee is waived off if total spends reach Rs. 4 lakh or more in the previous year.",NA,1.75% (plus applicable taxes),2.99% per month (35.88% annually),1% fuel surcharge is waived on all fuel purchases at all fuel stations across India for transactions between Rs. 400 and Rs. 5000 (waiver capped at Rs. 1000 per month).,2.5% (subject to a minimum of Rs. 300),NA,NA,NA
YES First Preferred Credit Card,Shopping,Rs. 999 (plus applicable taxes),Rs. 999 (plus applicable taxes),NA,Up to 16 reward points per Rs. 200 spent,4 exclusive complimentary international lounge access per year and 2 domestic lounge access per calendar quarter.,2 domestic lounge visits per quarter via the MasterCard lounge program.,Life insurance of up to Rs. 1 crore in the case of death due to flight accidents and medical insurance of Rs. 25 lakhs for emergency hospitalization.,25% discount on movie booking through BookMyShow.,"1 Reward Point = Re. 0.25 for redemption against hotel/flight bookings, and 1 Reward Point = Re. 0.10 for redemption against gift vouchers, product catalogue, etc.",4 complimentary green fee rounds annually.,You get 4 complimentary international lounge access every year through the priority pass.,Zero Liability protection is provided in case the lost or stolen card is reported within 3 days after losing it.,The renewal fee can be waived off on a spend of more than 4 lakhs in the last year.,A reward redemption fee of Rs. 100 on every redemption request.,1.75% on all foreign currency spends,"3.6% per month ( 43.2% per annum)
3% per month ( 36 per annum) in case of credit card issued a fixed deposit",1% fuel surcharge waiver applicable at fuel stations all over India on a minimum of Rs. 400 transaction and a maximum of Rs. 5000 transaction.,2.5% of the transaction amount.,NA (up to 3 cards),NA,NA
Yes Private/Private Prime Credit Card,"Travel , Shopping","Rs. 50,000 (plus applicable taxes) for Yes Private Credit Card and Rs. 20,000 (plus applicable taxes) for Yes Private Prime Credit Card","Rs. 50,000 (plus applicable taxes) for Yes Private Credit Card and Rs. 20,000 (plus applicable taxes) for Yes Private Prime Credit Card","Upon successful first transaction made using this credit card, you will get up to 25,000 Reward Points.","24 Reward Points for every Rs. 200 spent on international spends, 16 Reward Points for every Rs. 200 spent on domestic spends.","Complimentary access to domestic and international airport lounges, travel privileges including cruise program, car rentals, vacation packages, car rentals, e-gift vouchers from Oberoi hotels and resorts, etc.",Unlimited domestic lounge access with MasterCard Lounge Program for primary and add-on cardmembers (guest visits limited to 10 per year),"Air accident cover worth Rs. 5 crores, emergency overseas hospitalization cover worth Rs. 1 crore and Credit Shield cover worth Rs. 15 lakh","While booking movie tickets through BookMyShow, you will get Buy One Get One offer (up to 4 free tickets per month)",Reward Points can be redeemed on the YesRewardz portal for flight/hotel/movie ticket bookings and against products and vouchers in the bank’s catalogue. (1 Reward Point = Rs. 0.25),"12 rounds of green fees and golf lessons every year at premium domestic golf courses, privileges at TPC snd PGA golf courses",Unlimited international lounge access to primary and add-on cardmembers with Lounge Key (guest visits limited to 10 per year),Zero liability of cardholder against any deceitful transaction in case of loss or theft of card if the same is reported to the bank within a specified time frame.,"Renewal fee waived off on spends of Rs. 25,00,000 (for Yes Private Credit Card) or Rs. 20,00,000 (for Yes Private Prime Credit Card) in the preceding year",NA,1.75% (plus applicable taxes),"1.2% per month (14.4% annually) for Yes Bank savings/salary account holders, 1.75% per month (or 21% annually) for others.","Waived off on transactions between Rs. 400 and Rs. 5,000",NA,NA,NA,NA
YES Premia Credit Card,Travel,Rs. 999 (plus applicable taxes),Rs. 999 (plus applicable taxes),NA,"12 Reward Points on every Rs. 200 on Travel and Dining spends. 6 Reward Points per Rs. 200 you spend. 3 Reward Points per Rs. 200 you spend on tax payments, postal services, bus lines, government services, etc.",Get complimentary Priority Pass Membership with complimentary lounge access.,1 complimentary lounge access per quarter.,"A credit shield cover worth Rs. 2.5 lakhs, Life Insurance Cover of Rs. 1 Crore in case of Flight Accidental Death, and Medical Insurance cover of Rs. 30 Lakhs for overseas emergency hospitalization.",25% discount on movies through Bookmyshow.,"The Reward points earned are redeemable through the dedicated website Yes Rewardz at a rate of 1 RP = Re. 0.25 when redeemed against hotel/flight bookings, and 1 RP= Re. 0.10 when redeeming against gift vouchers, product catalogue, etc.",4 Green Fee waiver and 1 complimentary golf lesson every month at selected golf courses in India,3 complimentary access to international lounges through the Priority Pass.,The cardholder will not be held liable for any unauthorized transactions if the loss has been reported to the bank within 3 days of the same.,"The joining fee can be waived if you spend Rs. 25,000 within ninety days after activating the card and the annual fee can be waived if you spend Rs. 1.5 lakhs or more in the preceeding year.",Rs. 100,2.75% on all foreign currency transactions.,3.6% per month,"1% fuel surcharge waiver on fuel transactions between Rs. 400 and Rs. 5,000.",2.5% or the transacted amount or Rs. 300 (whichever is higher).,NA,"Identity Proof: Aadhar Card, PAN Card, Passport, Driving License, Voter’s ID, etc.
Address Proof: Utility bills, Driving License, Aadhar Card, etc.
Proof of Income: Latest bank statements/salary slips (in case of salaried individuals) or Latest audited ITR (in case of self-employed people).",NA
YES Bank Wellness Plus Credit Card,Travel,"Rs. 1,499 (plus applicable taxes)","Rs. 1,499 (plus applicable taxes)",NA,"6 Reward Points per Rs. 200 spent, 30 Reward Points per Rs. 200 spent on chemist/pharmaceutical stores.",Get complimentary access to domestic lounges,8 complimentary access to domestic lounges annually (2 per quarter).,"Get a life insurance cover of Rs. 1 Crore, a medical insurance cover worth Rs. 25 lakhs, and a credit shield in case of primary cardholder’s accidental death.",NA,The reward points are redeemable on Yes Rewardz,NA,NA,"If the lost or stolen card is reported to the bank within 3 days, then no liability falls on the cardholder towards any unauthorized transaction.",NA,Rs. 100,3.5% on all international spends.,3.5% per month.,"1% fuel surcharge waiver on all fuel transactions above Rs. 400 and below Rs. 5,000.",2.5% of the amount withdrawn or Rs. 300 (whichever is higher).,NA,NA,NA
Yes Bank Wellness Credit Card,Shopping,Rs. 749 plus applicable taxes,Rs. 749 plus applicable taxes,NA,1 Reward Point = Rs 0.25,NA,NA,You get a Credit Shield coverage in case of accidental death of Primary cardholder,"Great offers and discounts on movies, shopping, travel, and wellness at participating locations on YES Privileges.","Reward Points can be redeemed by visiting credit.yesrewardz.com/ or by calling Yes Rewardz Customer Care at 1800 4190 600 between 9 a.m. and 9 p.m., Monday through Sunday.",NA,NA,NA,NA,Redemption Fee of Rs 100/- plus GST is applicable,A conversion rate of 3.5% is charged,42% per annum (3.5% per month),"1% fuel surcharge waiver at all fuel stations in India on transactions between INR 400 to INR 5,000","2.5% of the transaction amount or Rs. 300, higher of the two.",NA,NA,NA
YES Prosperity Cashback Plus Credit Card,Shopping,Rs 1499 plus applicable taxes,Rs 1499 plus applicable taxes,A cashback of Rs. 250 on spending Rs. 2500 within the first 30 days.,"0.75% cashback on all retail spends, 5% cashback on movies & groceries.",NA,NA,Credit shield cover in case of death of the primary cardholder,NA,NA,NA,NA,The cardholder will not be liable for transactions done on a lost/stolen card if the loss is reported to the bank within 3 working days.,NA,Rs. 100 on every redemption request,3.4% on all foreign currency spends,3.5% per month,"1% fuel surcharge is waived off for all transactions between Rs. 400 & Rs. 5,000.",2.5% of the withdrawn amount or Rs. 300 (whichever is higher).,NA,NA,NA
